name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung, gewahrte_betrage ,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage
"Land Mecklenburg-Vorpommern vertreten durch 
das Straßenbauamt Schwerin",Kosten für Leistungen von Architekten und Ingenieuren,2007,"21,876,181.84",
"Land Mecklenburg-Vorpommern, vertreten durch 
Straßenbauamt Schwerin","Um- und Ausbau von Landesstraßen nach Maßgabe des 
Straßenbauplanes",2007,"15,314,749.30",
Nordex Energy GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Windkraftanlagen einschließlich der Rotorblattfertigung in 18147 
Rostock, Große Rampe 3",2007,"15,064,100.00",
Landeshauptstadt Schwerin ,"Schlosspromenade Schwerin, Teilbereich 1 ""Grüne"" und 
""Platzartige Promenade""",2007,"14,807,444.83",
Hansestadt Rostock ,"Maritimes Gewerbegebiet im Seehafen Rostock, 3. Bauabschnitt",2008,"13,225,093.00",
Gemeinde Ostseebad Boltenhagen,"Erschließung Marina Boltenhagen (Lose 10, 12 und 23)",2007,"12,808,145.10",
"Kur- und Strandhotel Usedom GmbH & Co. 
Investitions - KG","Errichtung einer Betriebsstätte des Frendenverkehrs (Grandhotel 
mit Villa Meeresstrand, Mare Balticum und Seepavillon) in 17429 
Seebad Heringsdorf / OT Bansin, Strandpromenade 20, 21 und 23,
Kuhnle Tours GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3460
balticFuelCells GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3450
"Woterfitz Wasserfreizeit Holtkamp + Partner 
OHG",Förderung der Teilnahme an Messen und Ausstellungen,2008,,3420
CSK Software GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3400
SBM Boote & Motoren GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3370
Technus KG (GmbH & Co.) ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3370
HEYMANN - Moden GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3360
HEAT Nord GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3330
Taflo GmbH & Co. KG ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3310
Ivica Saric IVICA Exclusiv-Yachtcharter,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3240
Masson-Wawer Fiberglasmöbel GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3180
Com In GmbH & Co. KG Consulting + Solutions,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3120
EasyBrowse GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3080
Henkel Beiz- und Elektropoliertechnik GmbH & ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3080
Technus KG (GmbH & Co.) ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3080
"Wieker Boote GmbH Bootsbau, Service u. 
Vertrieb",Förderung der Teilnahme an Messen und Ausstellungen,2008,,3070
Andreas Manski Reitsportfachgeschäft,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2980
Robert Teichmann AWI - Werkstattausrüstung,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2970
Rotaria Energie- und Umwelttechnik GmbH,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2910
BIOSERV Diagnostics GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2890
BluePoint Medical GmbH & Co. KG ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2890
Dorita Gaube Medizinmöbel & Objekteinr.,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2860
Dockweiler Aktiengesellschaft ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2810
GreenLife GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2780
CYBORG - Messebau - Zelte GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2770
MOLA Yachting GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2700
GreenLife GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2670
Cornpack GmbH & Co. KG ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2650
SAB Barth GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2640
SCHULTE Lebensmitteltechnik GmbH & Co. KG,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2640
luratec AG luft + raumfahrt technologie,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2590
Karin Ruppert HOKU,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2540
Versand-Service Plate KG ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2520
"Yachtausrüster Wendel & Rados GmbH & Co. 
KG",Förderung der Teilnahme an Messen und Ausstellungen,2008,,2500
Knut Kuntoff Sail & Surf Rügen,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2360
Haveltourist GmbH & Co. KG Campingplätze u. ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2270
acriba Service GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2260
acriba Service GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2260
Knut Hartwich Galerie Hartwich,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2250
Yamaton Paper GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2240
Wolfgang Helinski Raumausstattung,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2210
"Wolfram und Andreas Höhne CAMPMOBIL 
Schwerin GbR",Förderung der Teilnahme an Messen und Ausstellungen,2008,,2210
Thomas Schulz Yachtcharter,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2160
Wolfgang Helinski Raumausstattung,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2110
D&W Sondermaschinen- und Vorrichtungsbau ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2080
S-Tec Gesellschaft fu_r Archivierungstechnik mbH,Fo_rderung der Teilnahme an Messen und Ausstellungen,2008,,2070
"ROSOMA - GmbH Rostocker Sondermaschinen- 
und Anlagenbau",Förderung der Teilnahme an Messen und Ausstellungen,2008,,2040
Volker Harm GARAGENMARKT PRISLICH,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2030
Bootsbau Schubert GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2020
HEYMANN - Moden GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2020
Horst Foese ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2020
Klemann & Kreutzfeldt GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2020
Uwe Stieblich e.K. Stahlbau Stieblich,Förderung der Teilnahme an Messen und Ausstellungen,2008,,2010
Maschinen- und Antriebstechnik GmbH & Co. KG,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1990
PartMaster GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1970
Andreas und Joachim Gantert Ber-Bek GbR,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1960
O & M medical GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1920
Torsten Ott Modellbau und Spielwaren,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1910
HNP Mikrosysteme GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1890
HNP Mikrosysteme GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1890
Jürgen Schulze Metallbau,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1890
RAGOLDS SWEET SALES GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1870
Andreas und Joachim Gantert Ber-Bek GbR,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1860
Human Med AG ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1850
Klappex Fenster GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1840
Torsten Ott Modellbau und Spielwaren,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1840
HEYMANN - Moden GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1820
Stephan Jaenichen Le Pomm Feinkost & ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1800
Andre Tode AVS Druckerzubehör,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1790
Amun best of Orient GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1760
SEETEL Hotel GmbH & Co. Betriebs-KG,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1760
Andreas und Joachim Gantert Ber-Bek GbR,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1750
HNP Mikrosysteme GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1750
Bootsbau Schubert GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1740
Human Med AG ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1740
Jürgen Schulze Metallbau,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1740
Volker Cypryanski BMS Bootsmotoren Schwerin,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1740
LWN - Licht- und Werbeanlagen Nord GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1730
DrehPunkt GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1700
"MWO Gesellschaft zur Herstellung von Chemisch-
technischen Produkten mbH",Förderung der Teilnahme an Messen und Ausstellungen,2008,,1690
Haveltourist GmbH & Co. KG Campingplätze u. ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1650
Klappex Fenster GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1650
"Maschinen- u. Antriebstechnik Maschinenbau 
GmbH & Co. KG",Förderung der Teilnahme an Messen und Ausstellungen,2008,,1630
PEREBO GmbH & Co. KG ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1630
Autogas Mulsow GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1620
Doreen Peter Pro-Bestatter,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1620
Goor GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1620
SEETEL Hotel GmbH & Co. Betriebs-KG,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1620
Hubert Schwarz Galerie Schwarz,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1610
Nicolay Mausz flying dog software,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1610
KOSANKE GmbH & Co. KG ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1600
Ute Garnew und Gerd Schuldt Landreisen GbR,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1570
AIRSENSE Analytics GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1560
Andreas und Joachim Gantert Ber-Bek GbR,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1560
CSK Software GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1560
Thomas Meister MoLe Bootsbau,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1550
Bernd Schaefer e.K. ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1540
Baar Bau GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1530
Baar Bau GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1530
Baar Bau GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1530
mCubed Information Technology GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1510
CSK Software GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1490
Olaf Schreck ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1480
Armin Baack Bedarf u. Technik f. Labor,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1440
Human Med AG ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1440
Christian Schreiber MERLIN Gastronomie-,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1430
H.S.W. Ing.büro für Angewandte und ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1420
SilicANN Technologies GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1420
HEG Hamburger Export Großhandels GmbH,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1400
SilicANN Technologies GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1400
"Wieker Boote GmbH Bootsbau, Service u. 
Vertrieb",Förderung der Teilnahme an Messen und Ausstellungen,2008,,1400
MOLA Yachting GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1380
Thomas Meister MoLe Bootsbau,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1370
Jürgen Holm Sommerrodelbahn Burg Stargard,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1360
MGT Maschinen- und Gerätebau GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1360
Eginhard Schmuhl & Peter Lattmann GbR ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1350
Green Force Germany Ltd. ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1350
Stephan Bruhn Haff Charter Ueckermünde e.K.,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1350
DATAreform GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1330
Stirl Anlagentechnik GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1330
Copendia GmbH & Co. KG ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1320
LWN - Licht- und Werbeanlagen Nord GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1320
SEETEL Hotel GmbH & Co. Betriebs-KG,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1320
Stirl Anlagentechnik GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1320
acriba Service GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1310
Bootsbau Schubert GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1290
Crammy GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1250
PLANET intelligent Systems GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1250
SBM Boote & Motoren GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1250
Thomas Parsch BEETA Reinigungssysteme,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1250
Jörg Starke BÜRO und CO!,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1240
Jörg Starke BÜRO und CO!,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1240
Peter Mittelstädt Mineralmarmor,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1240
Reha - Technik Möller GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1240
BIONAS GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1230
MATEC GmbH Maschinen- und Anlagenbau,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1230
Christian Herlt HERLT SonnenEnergieSysteme,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1220
Jan Kohlhaus Body Culture Nutrition,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1220
my-style GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1220
Timo Weisbrich Ferienpark Heidenholz,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1220
Goor GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1210
"Wasser-Service-Center ""Röbel"" GmbH ",Förderung der Teilnahme an Messen und Ausstellungen,2008,,1210
Ingenieurtechnik und Maschinenbau GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1200
Backofenbau GmbH Parchim ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1190
Christian Schreiber MERLIN Gastronomie-,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1190
H.S.W. Ing.büro für Angewandte und ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1180
Klaus GmbH & Co. KG ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1180
UV - Tec - Meßtechnik GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1170
"Wolfram und Andreas Höhne CAMPMOBIL 
Schwerin GbR",Förderung der Teilnahme an Messen und Ausstellungen,2008,,1170
Clement Yacht Harbour Systems GmbH,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1160
Goor GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1160
MOLA Yachting GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1160
Esther John Modellwerk. GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1150
Wilfried Kucharczyk e.K. Präzisionsdrehteile,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1150
Carstens GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1140
Tobias Weber Glasatelier Weber,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1140
AIRSENSE Analytics GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1130
Armin Baack Bedarf u. Technik f. Labor,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1130
BIONAS GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1130
"Ronny Weisbrich Ferienanlage ""Zum See""",Förderung der Teilnahme an Messen und Ausstellungen,2008,,1130
DATAreform GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1120
GTA Geoinformatik GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1120
Clement Yacht Harbour Systems GmbH,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1110
Peter Mittelstädt Mineralmarmor,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1110
BluePoint Medical GmbH & Co. KG ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1100
Esther John Modellwerk. GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1100
Tackotel Hotelmanagement GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1100
VellKreativ GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1100
DATAreform GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1090
"ROSOMA - GmbH Rostocker Sondermaschinen- 
und Anlagenbau",Förderung der Teilnahme an Messen und Ausstellungen,2008,,1090
Haveltourist GmbH & Co. KG Campingplätze u. ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1080
Surfhaus GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1080
Thomas Meister MoLe Bootsbau,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1080
trendy Handels- und Vertriebsgesellschaft mbH,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1070
Olaf Schreck ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1070
Thomas Parsch BEETA Reinigungssysteme,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1070
Peter Mittelstädt Mineralmarmor,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1060
Schweriner Apothekenrechenzentrum GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1060
Technus KG (GmbH & Co.) ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1060
Gerhard Breitkreutz Sund Soft e.K.,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1050
René Schindler Schindler Anlagenbau,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1050
SCN Energy GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1050
Kirsten Dubs Bootswerft-Freest,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1040
"Wasser-Service-Center ""Röbel"" GmbH ",Förderung der Teilnahme an Messen und Ausstellungen,2008,,1040
"Ronny Weisbrich Ferienanlage ""Zum See""",Förderung der Teilnahme an Messen und Ausstellungen,2008,,1030
Timo Weisbrich Ferienpark Heidenholz,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1030
Aerolightcenter Müritz GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1020
Carstens GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1020
Christian Schreiber MERLIN Gastronomie-,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1020
Crammy GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1020
"Ronny Weisbrich Ferienanlage ""Zum See""",Förderung der Teilnahme an Messen und Ausstellungen,2008,,1010
Timo Weisbrich Ferienpark Heidenholz,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1010
Yamaton Paper GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1010
Carstens GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1000
Christian Herlt HERLT SonnenEnergieSysteme,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1000
Materion GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,1000
"Land Mecklenburg-Vorpommern vertreten durch 
das Straßenbauamt Neustrelitz",Neubau von Landesstraßen,2008,,
Dünenmeer GmbH & Co. KG ,"Errichtung einer Betriebsstätte des Fremdenverkehrs (""Hotel an 
der See und Ferienwohnanlage Neuhaus"") in 18347 Ostseebad 
Dierhagen, OT Neuhaus, Zwischen den Kiefern 1, Landkreis 
Nordvorpommern (A-Fördergebiet)",2007,,5049700
IFA Insel Ferien Anlagen GmbH & Co. ,"Erweiterung einer Betriebsstätte des Fremdenverkehrs (IFA Grand 
Hotel Graal-Müritz) in 18181 Graal-Müritz, Waldstr. 1, Landkreis 
Bad Doberan (A-Fördergebiet)",2007,,2897700
"Berolina-Management GmbH & Co. Immobilien 
KG (Besitzgesell.) Strandhotel Seerose Kölpinsee
GmbH (Betriebsgesell.)","Erweiterung einer Betriebsstätte des Fremdenverkehrs (Hotel - 
Strandhotel ""Seerose"") in 17459 Seebad Loddin, OT Kölpinsee, 
Strandstr. 1, Landkreis Ostvorpommern 
(Tourismusschwerpunktraum)",2007,,2251600
Hansestadt Rostock ,"Fracht- und Fischereihafen - Ertüchtigung/Lastererhöhung 
vorhandene Spundwand und Gleisanbindung Warnowkai",2007,,2126358
"MAPLAN Maschinenfabrik und Anlagen für 
Kunststofftechnik Schwerin GmbH","Erweiterung einer Betriebsstätte zur überwiegenden Herstellung 
von Bauteilen, Maschinen und Anlagen für die 
Kunststoffverarbeitung in 19061 Schwerin, Werkstraße 206, 
Landeshauptstadt Schwerin",2007,,1505000
"Claudia und Carolin Fischer in ""Namenlos GbR"" 
(Besitzgesellschaft) Hotel Ahrenshooper Hof 
GmbH & Co. KG (Betriebsgesellschaft)","Erweiterung einer Betriebsstätte des Fremdenverkehrs (Hotel) in 
18347 Ostseebad Ahrenshop, Dorfstr. 44, Landkreis 
Nordvorpommern (Tourismusschwerpunktraum)",2007,,1406600
"Maritime Freight Forwarders GmbH 
(Leasingnehmer) CARNUNTUM 
Immobilienleasing GmbH (Leasinggeber)","Errichtung einer Betriebsstätte zur Durchführung logistischer 
Dienstleistungen in 19258 Gallin, Neu Galliner Weg 14-16, 
Landkreis Ludwigslust",2007,,1318600
Deutscher Paket Dienst Altentreptow GmbH,"Erweiterung einer Betriebsstätte zur Erbringung von logistischen 
Dienstleistungen in 17087 Altentreptow, Gewerbehof 18, Landkreis 
Demmin",2007,,1142500
Lubminer Korrosionsschutz GmbH ,"Errichtung einer Betriebsstätte zur Ausführung von 
Korrosionsschutz- und Beschichtungsarbeiten in 17509 Rubenow, 
Latzower Str. 1, Landkreis Ostvorpommern",2007,,1060600
"DREHTAINER GmbH Spezial Container und 
Fahrzeugbau","Erweiterung einer Betriebsstätte zur Herstellung von Containern 
und Sonderfahrzeugen in 19246 Valluhn, Güststraße 1, Landkreis 
Ludwigslust",2007,,988300
Thomas Scherfig ,"Errichtung einer Betriebsstätte des Fremdenverkehrs (Hotel mit 
Kulturkneipe ""FloMaLa"") in 17192 Waren, Am Seeufer 54, 
Landkreis Müritz",2007,,886600
FIBRON AG ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Hohlfasermembranen für die Ultra- und Mikrofiltration in 17166 
Teterow, Koppelbergstraße 13, Landkreis Güstrow",2007,,769500
Krüger + Voigt Logistikdienste GmbH ,"Errichtung einer Betriebsstätte zur Erbringung von logistischen 
Dienstleistungen in 19370 Parchim, Schwarzer Weg 6, Landkreis 
Parchim",2007,,736400
"Jens Ulrich ""Landhaus am Grün""","Errichtung einer Betriebsstätte des Fremdenverkehrs (Pension) in 
18209 Wittenbeck, Straße zur Kühlung 12, Landkreis Bad Doberan",2007,,665400
"Thomas Schulz und Steffen Schulz in GbR 
""Marina Eldenburg""","Errichtung einer Betriebsstätte des Fremdenverkehrs 
(Wasserwanderrastplatz) in 17192 Waren, An der Reeck 17, 
Landkreis Müritz (Tourismusschwerpunktraum)",2007,,644100
"Überregionales Ausbildungdzentrum 
Waren/Grevesmühlen e.V.","Modernisierung der Metall- und Elektrowerkstätten im ÜAZ 
Waren/Grevesmühlen",2007,,610000
"H. O. Schlüter GmbH & Co. KG 
Zweigniederlassung Lübz","Erweiterung einer Betriebsstätte zur überwiegenden Herstellung 
von Stahl- und Leichtmetallkonstruktionen in 19386 Lübz, 
Industriestraße 10/ Gewerbering, Landkreis Parchim",2007,,599400
Konservenfabrik Zachow GmbH & Co. KG ,"Erweiterung einer Betriebsstätte zur Herstellung und Vertrieb von 
Gemüsekonserven in 10376 Zachow, Am Ring 11, Landkreis 
Parchim",2007,,581000
Ganzlin Beschichtungspulver GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Beschichtungspulver in 19395 Ganzlin, Grüner Weg 1, Landkreis 
Parchim (A-Fördergebiet)",2007,,513100
Holzbau Potts GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Holzerzeugnissen in 17091 Zwiedorf, Dorfstraße 7, Landkreis 
Demmin",2007,,501000
KOSANKE GmbH & Co. KG ,"Errichtung einer Betriebsstätte zur Oberflächenbeschichtung von 
Materialien verschiedener Art in 19288 Ludwigslust, Bauernallee 
11, Landkreis Ludwigslust",2007,,477800
Handwerkskammer Schwerin ,"Modernisierung der Ausstattung des Berufsbildungs- und 
Technoloegiezentrums Schwerin",2007,,431320
"Wolfgang Neumann und Heiko Thomä in GbR 
Campingpark ""Kamerun""","Errichtung einer Betriebsstätte des Fremdenverkehrs 
(Campingpark ""Kamerun"") in 17192 Waren, Zur Stillen Bucht 3, 
Landkreis Müritz",2007,,428100
"Golfhotel Balmer See GmbH Golfhotel Balmer 
See Dienstleistungsgesellschaft mbH","Erweiterung einer Betriebsstätte des Fremdenverkehrs (Golfhotel) 
in 17429 Benz/ OT Balm, Drewinscher Weg 1, Landkreis 
Ostvorpommern",2007,,424800
Lunge Lauf- und Sportschuhe GmbH ,"Errichtung einer Betriebsstätte zur Herstellung von Schuhen in 
19273 Düssin, Schlossstr. 2, Landkreis Ludwigslust (B-
Fördergebiet)",2007,,408100
"Zweckverband Radegast Trinkwasser - 
Schmutzwasser","Schmutzwasserkanalisation in Gadebusch, 18. BA: Puschkinstraße
und Gothering östlicher Abschnitt",2007,,386600
"ROFIA – GmbH Rostocker Fischerei und 
Industrieausrüster",“FATRASYS-Krill “,2007,,376771.45
"Susanne Masson-Wawer e.K. (Besitzgesell.) 
Masson-Wawer Fiberglasmöbel GmbH 
(Betriebsgesell.)","Erweiterung einer betriebsstätte zur Herstellung von Sitzmöbeln in 
18441 Groß Lüdershagen, Robert-Koch-Str. 18, Landkreis 
Nordvorpommern",2007,,355000
PNP automotive GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von Teilen und 
Zubehör für Kraftwagen in 19089 Crivitz, Goldberger Str. 47, 
Landkreis Parchim (A-Fördergebiet)",2007,,327800
EMH Elektrizitätszähler GmbH & Co. KG ,"Erweiterung einer Betriebsstätte zur Entwicklung und Herstellung 
elektronischer Elektrizitätszähler in 19243 Wittenburg, Südring 5, 
Landkreis Ludwigslust",2007,,286200
